,T_remainpop,T_commuterpop,commercial_facility_count,subwayst_count,busst_count,분기당_매출_금액,2340대_매출금액,영업기간/서울평균,폐업기간/서울평균
1000001,1800.0,842.0,26.5,0.0,5.5,396.8722083,0.08955472,0.86,1.04
1000002,941.0,201.0,5.75,0.0,1.0,142.3495855,0.03023841,1.13,0.9
1000003,1214.0,3686.0,32.0,0.0,4.0,229.4300843,0.04696136,1.05,1.12
1000004,1442.0,56.0,9.0,0.0,5.0,106.2175014,0.02214581,0.83,1.01
1000005,1671.0,1797.0,4.25,0.0,3.0,401.7199535,0.0787405,0.77,0.98
1000006,650.0,671.0,10.5,0.0,2.5,25.676019,0.00591615,0.98,1.27
1000007,424.0,503.0,9.75,0.0,1.75,1241.426957,0.30890601,0.83,0.99
1000008,670.0,234.0,11.75,0.0,4.5,404.5606536,0.09799484,0.83,0.89
1000009,747.0,2703.0,16.0,0.0,5.5,520.8816772,0.10457293,0.85,1.08
1000010,946.0,148.0,7.25,0.0,0.0,137.0095333,0.03785947,1.01,0.89
1000011,899.0,329.0,22.25,0.0,1.0,244.8110425,0.04842095,1.13,0.95
1000012,2571.0,58.0,6.0,0.0,3.0,383.1388631,0.1001392,0.67,1.02
1000013,230.0,313.0,12.0,0.0,3.25,289.9216775,0.06402454,1.09,1.04
1000014,463.0,235.0,6.25,0.0,1.75,45.101816,0.00794598,1.19,1.13
1000015,1607.0,497.0,10.75,0.0,1.75,209.3189713,0.04633551,1.0,1.19
1000016,677.0,214.0,16.75,0.0,6.5,703.3891298,0.17509389,0.8,1.17
1000017,47.0,1011.0,9.5,0.25,2.0,79.8306285,0.01097197,1.52,1.38
1000018,456.0,137.0,15.75,1.5,0.25,39.06271162,0.00808156,0.97,1.04
1000019,3479.0,275.0,14.25,0.0,2.75,256.7037313,0.06622102,1.18,0.99
1000021,932.0,787.0,11.0,0.0,3.25,100.2213737,0.01804869,1.03,1.21
1000023,1269.0,15.0,3.25,0.0,0.0,3.6456345,0.00075214,1.15,1.37
1000026,1678.0,6654.0,25.0,0.0,13.25,109.3222956,0.01505965,0.96,1.23
1000027,690.0,202.0,16.0,0.0,0.75,357.4349386,0.10278035,0.68,0.92
1000028,3407.0,255.0,25.75,0.0,2.0,183.8397836,0.03671104,1.15,1.21
1000030,3422.0,320.0,7.0,0.0,0.0,61.673846,0.01242737,1.07,1.12
1000031,2066.0,91.0,11.5,0.0,0.0,18.70264975,0.00161827,1.01,0.97
1000032,1406.0,674.0,15.75,0.0,1.0,240.3478866,0.04727551,1.06,1.08
1000033,834.0,39.0,11.25,0.0,1.0,45.94931625,0.01218084,1.05,0.97
