neighbor_code,분기당_매출_금액,2340대_매출금액
1000001,249.8816884,0.05370352
1000002,197.0167865,0.04489844
1000003,297.2000511,0.05550663
1000004,108.2123994,0.02595783
1000005,526.4480254,0.11774571
1000006,32.35935075,0.00535005
1000007,1145.330979,0.29530579
1000008,515.4652517,0.12171856
1000009,421.9060768,0.08229956
1000010,102.7104379,0.02706044
1000011,252.9079447,0.04661974
1000012,144.1215825,0.03448159
1000013,245.381681,0.05069043
1000014,94.8660685,0.02245507
1000015,318.0370018,0.07896332
1000016,433.6725926,0.09781774
1000017,109.3608165,0.01716012
1000018,45.61259717,0.01044284
1000019,166.6005322,0.04476046
1000020,56.590541,0.01493054
1000021,80.01592475,0.01430761
1000022,0.97597833,0
1000023,4.68856325,0.00058926
1000026,108.7705211,0.01650631
1000027,252.9647825,0.04954691
1000028,189.6122674,0.04064406
1000029,1.695695,0.00045045
1000030,61.14286138,0.01327209
1000031,43.5622535,0.01070653
1000032,256.3765724,0.05204238
1000033,40.60928478,0.00980451
1000034,115.6034278,0.02819931
1000036,0,0
1000038,129.1713881,0.02827984
1000039,636.1655163,0.13129494
1000040,403.193951,0.05552858
1000041,47.2436485,0.00962022
1000042,160.420013,0.0387206
1000043,3.0788265,0.00073758
1000044,164.7113424,0.04005665
1000045,809.3082293,0.18622855
1000046,59.18208411,0.01445309
1000047,70.27963592,0.0143971
1000048,31.70145938,0.00896898
1000049,58.265426,0.01529444
1000050,16.169596,0.00372745
1000051,302.6439581,0.06675996
1000052,586.4262602,0.15326898
1000053,615.4823866,0.16718745
1000054,349.8604657,0.0982322
1000055,96.559653,0.01567261
1000056,57.6389275,0.0092516
1000057,198.681988,0.05412596
1000058,98.82737192,0.01896583
1000060,73.58319967,0.01659807
1000061,245.3382197,0.04227579
1000062,87.6509345,0.02541474
1000063,569.3544564,0.14624802
1000064,110.3367448,0.03178188
1000065,145.0186462,0.03055594
1000066,102.3527483,0.02351444
1000067,63.83753227,0.0116147
1000068,379.4387533,0.08908767
1000069,60.7625985,0.01161691
1000070,2176.49514,0.63241036
1000071,1839.364579,0.47840087
1000072,7.9541695,0.00107289
1000073,1366.846947,0.35892582
1000074,0.4251135,0.00008749
1000075,41.386111,0.00784767
1000076,19.583434,0.00376926
1000077,207.9615636,0.04168325
1000078,76.449057,0.01245038
1000079,219.8636187,0.04468862
1000080,218.7000777,0.04517168
1000081,130.4336716,0.02945812
1000082,143.4518639,0.01833469
1000083,131.5495564,0.03748106
1000084,734.0569788,0.16404932
1000085,407.9126411,0.10787299
1000086,69.93247775,0.0174771
1000087,29.75928717,0.0077826
1000088,357.617107,0.07627357
1000089,6.9191495,0.00111865
1000090,90.334159,0.01797717
1000091,97.39713312,0.0232114
1000092,198.1869493,0.05578499
1000093,104.5077535,0.01532904
1000094,14.402433,0.00330938
1000096,146.9879198,0.04011873
1000097,76.41657425,0.01783681
1000098,121.1955753,0.0249597
1000099,92.42191325,0.01727368
1000100,18.2403755,0.00367079
1000101,38.48076675,0.01029777
